Andy Warhol,https://www.warhol.org/,https://en.wikipedia.org/wiki/Andy_Warhol,https://www.biography.com/people/andy-warhol-9523875,www.theartstory.org/artist-warhol-andy.htm,Highsnobiety,Refinery29,Wilkes Barre Times-Leader,warholfoundation.org/,warholfoundation.org/legacy/biography.html,https://www.artsy.net/artist/andy-warhol,www.artnet.com/artists/andy-warhol/
Francis Bacon,https://en.wikipedia.org/wiki/Francis_Bacon,https://en.wikipedia.org/wiki/Francis_Bacon_(artist),www.iep.utm.edu/bacon/,francis-bacon.com/,https://www.biography.com/people/francis-bacon-9194632,www.theartstory.org/artist-bacon-francis.htm,https://plato.stanford.edu/entries/francis-bacon/,www.sirbacon.org/,https://www.artsy.net/artist/francis-bacon
Marcel Duchamp,https://en.wikipedia.org/wiki/Marcel_Duchamp,www.theartstory.org/artist-duchamp-marcel.htm,https://www.moma.org/learn/.../marcel-duchamp-and-the-readymade,https://www.artsy.net/artist/marcel-duchamp,https://www.dadart.com/dadaism/dada/035a-duchamp-cage.html,www.metmuseum.org/toah/hd/duch/hd_duch.htm,www.tate.org.uk/art/artists/marcel-duchamp-1036,https://www.britannica.com/biography/Marcel-Duchamp,marcelduchamp.net/duchamp-artworks/
Marina Abramovic,https://en.wikipedia.org/wiki/Marina_Abramovi&#263;,https://www.moma.org/calendar/exhibitions/964,https://www.facebook.com/MarinaxAbramovic/,https://www.artsy.net/artist/marina-abramovic-1,marinafilm.com/,https://www.theguardian.com/.../marina-abramovic-ready-to-die-serpentine- gallery-512-hours,https://www.theguardian.com/.../marina-abramovic-artist-face-jealousy-simon -hattenstone,www.thecut.com/.../marina-abramovic-walk-through-walls-c-v-r.html,https://mai.art/
David Hockney,www.davidhockney.co/,https://en.wikipedia.org/wiki/David_Hockney,www.tate.org.uk/art/artists/david-hockney-1293,www.metmuseum.org/press/exhibitions/2017/david-hockney,www.metmuseum.org/exhibitions/listings/2017/david-hockney,https://www.nytimes.com/.../david-hockney-los-angeles-metropolitan- museum-of-art-reverse-perspective.html,https://www.theguardian.com/.../los-angeles-lovers-and-light-david-hockney- at-80,https://www.theguardian.com/artanddesign/hockney,https://www.artsy.net/artist/david-hockney
Anish Kapoor,anishkapoor.com/,https://en.wikipedia.org/wiki/Anish_Kapoor,www.lissongallery.com/artists/anish-kapoor,https://www.instagram.com/dirty_corner/?hl=en,https://www.dezeen.com/.../anish-kapoor-uses-stuart-semple-worlds-pinkest- pink-despite-ban/,https://www.dezeen.com/.../anish-kapoor-banned-from-using-stuart-semple- colour-changing-paint-design-news/,https://www.artsy.net/artist/anish-kapoor,www.artnet.com/artists/anish-kapoor/,https://www.theguardian.com/.../anish-kapoor-vantablack-art-architecture- exclusive-rights-to-the-blackest-black
Jasper Johns,https://en.wikipedia.org/wiki/Jasper_Johns,www.jasper-johns.org/,www.theartstory.org/artist-johns-jasper.htm,www.metmuseum.org/toah/hd/john/hd_john.htm,https://www.artsy.net/artist/jasper-johns,www.artnet.com/artists/jasper-johns/,www.matthewmarks.com/new-york/artists/jasper-johns/,www.pbs.org/wnet/americanmasters/jasper-johns-about-the.../54/,https://www.moma.org/collection/works/78805
Jasper Johns,https://en.wikipedia.org/wiki/Jasper_Johns,www.jasper-johns.org/,www.theartstory.org/artist-johns-jasper.htm,www.metmuseum.org/toah/hd/john/hd_john.htm,https://www.artsy.net/artist/jasper-johns,www.artnet.com/artists/jasper-johns/,www.matthewmarks.com/new-york/artists/jasper-johns/,www.pbs.org/wnet/americanmasters/jasper-johns-about-the.../54/,https://www.moma.org/collection/works/78805
Jean-Michel Basquiat,basquiat.com/,https://en.wikipedia.org/wiki/Jean-Michel_Basquiat,www.theartstory.org/artist-basquiat-jean-michel.htm,https://www.artsy.net/artist/jean-michel-basquiat,https://www.biography.com/people/jean-michel-basquiat-185851,https://www.theguardian.com/.../jean-michel-basquiat-110m-sothebys,https://www.nytimes.com/.../jean-michel-basquiat-painting-is-sold-for-110- million-at-auction.html?...,https://www.gagosian.com/artists/jean-michel-basquiat,www.npr.org/.../at-110-5-million-basquiat-painting-becomes-priciest-work- ever-sold-by-a-u-s-arti
Jean Michel Basquiat,basquiat.com/,https://en.wikipedia.org/wiki/Jean-Michel_Basquiat,www.theartstory.org/artist-basquiat-jean-michel.htm,https://www.artsy.net/artist/jean-michel-basquiat,https://www.biography.com/people/jean-michel-basquiat-185851,https://www.theguardian.com/.../jean-michel-basquiat-110m-sothebys,https://www.nytimes.com/.../jean-michel-basquiat-painting-is-sold-for-110- million-at-auction.html,https://www.wikiart.org/en/jean-michel-basquiat,https://www.gagosian.com/artists/jean-michel-basquiat
Louis Vuitton,us.louisvuitton.com/store,www.vestiairecollective.com/Louis-Vuitton,www.louisvuitton.com/,Vogue.com,Patch.com,New Straits Times Online,https://www.facebook.com/LouisVuitton/,https://en.wikipedia.org/wiki/Louis_Vuitton,shop.nordstrom.com/c/louis-vuitton,https://www.instagram.com/louisvuitton/?hl=en,https://www.therealreal.com/designers/louis-vuitton
